Page Name,PageLabelId,Page Label Name,ValueRT,Storefront
All,MyWallet_AcctNum_drGlobalAll,MyWallet_AcctNum_dr,{1},Global
All,MANAGE_TAX_EXEMPTIONGlobalAll,MANAGE_TAX_EXEMPTION,MANAGE TAX EXEMPTION,Global
All,File_RequiredGlobalAll,File_Required,You must choose a file before trying to upload it,Global
All,File_Reading_ErrorGlobalAll,File_Reading_Error,There was an error reading the file. Please try again.,Global
All,File_Name_LimitGlobalAll,File_Name_Limit,File Name Less then 80 Character.,Global
All,File_Limit_ExceedGlobalAll,File_Limit_Exceed,File cannot be more then 1.5 MB in size. Your file is too large. Please try again.,Global
All,fileSizeErrormessageGlobalAll,fileSizeErrormessage,File cannot be more then 1 MB in size. Your file is too large. Please try again.,Global
All,Exemption_Start_DateGlobalAll,Exemption_Start_Date,Exemption Start Date : *,Global
All,Exemption_Expiration_DateGlobalAll,Exemption_Expiration_Date,Exemption Expiration Date : *,Global
All,Exemption_Certificate_Tax_AuthorityGlobalAll,Exemption_Certificate_Tax_Authority,Exemption Certificate Tax Authority : *,Global
All,Error_during_submitting_paymentsGlobalAll,Error_during_submitting_payments,Error while submitting payments.,Global
All,End_Date_Past_ValidationGlobalAll,End_Date_Past_Validation,End Date Cannot be Past Date,Global
All,End_DateGlobalAll,End_Date,Expiry Date,Global
All,endDateErrormessageGlobalAll,endDateErrormessage,End Date is Required,Global
All,DR_Success_message_for_update_recordGlobalAll,DR_Success_message_for_update_record,Your credit card details have been updated.,Global
All,DR_Success_message_for_new_recordGlobalAll,DR_Success_message_for_new_record,Your new card has been added to the Wallet.,Global
All,DR_SOURCE_ID_MISSINGGlobalAll,DR_SOURCE_ID_MISSING,Failed to get source Id from Digital River.,Global
All,DR_CHECKOUT_SUBSCRIPTION_ERRORGlobalAll,DR_CHECKOUT_SUBSCRIPTION_ERROR,Please select Save Payment to continue or select a saved payment method from your wallet.,Global
All,DR_SOURCE_ID_ERROR_TYPEGlobalAll,DR_SOURCE_ID_ERROR_TYPE,Failed to get SourceId from Digital River.(Error Type :,Global
All,DR_SERVER_PAYMENT_FAILEDGlobalAll,DR_SERVER_PAYMENT_FAILED,We could not process your payment. Please click &lt;a style=&quot;cursor: pointer;&quot; onclick=&quot;javascript:(function() { location.reload(); })()&quot;&gt;<b>here</b>&lt;/a&gt; to try again.,Global
All,DR_SELECT_SAVE_PAYMENT_OPTIONGlobalAll,DR_SELECT_SAVE_PAYMENT_OPTION,You have a subscription product in your cart. So It is required to select the Save Payment option for future payments.,Global
All,DR_Process_PaymentsGlobalAll,DR_Process_Payments,Place Order,Global
All,DR_INTERNET_CONNECTIONGlobalAll,DR_INTERNET_CONNECTION,Check your internet connection.,Global
All,DR_Failed_to_add_payment_methodsGlobalAll,DR_Failed_to_add_payment_methods,Unable to save card to wallet.,Global
All,PaymentProcessorTab_drGlobalAll,PaymentProcessorTab_dr,Digital River,Global
CheckOutNew,Checkout_TaxCalculationErrorGlobalCheckOutNew,Checkout_TaxCalculationError,Error calculating tax. Contact your administrator.,Global
All,AWAITED_WIRETRANSFER_INFOGlobalAll,AWAITED_WIRETRANSFER_INFO,Awaiting wire transfer payment instructions.,Global
All,MyWallet_AddPymtMtdGlobalAll,MyWallet_AddPymtMtd,Select Payment Method,Global
